P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P06702257T0001|0 14|Antithrombin III
P09837913A0000|0 14|Type 2 deiodinase
P09525888A1482|0 14|Full-length FLAP
P08825554A0000|0 14|Tristetraprolin
P01441818T0001|0 14|Interferon type I
P07559233A0534|0 14|Citrate synthase
P11063169T0000|0 14|Botulinum toxin A
P08661007T0000|0 14|Human MN/CA9 gene
P10897973T0001|0 14|Antithrombin III
P00072928T0000|0 13|Serum-ferritin
P08396749A1112b|0 13|LDL cholesterol
P04139081T0001|0 13|HL-A antibodies
P08654390A0000|0 13|Heme oxygenase 1
P07575416A0000|0 13|Protein kinase C
P02535460A1443|0 13|RNA transcripts
P08348919T0000|0 13|Botulinum toxin
P08670910A0156|0 13|DNA polymerase E
P08536694A0000|0 13|Protein kinases
P09914525A0890|0 13|Recombinant Ffh
P08396749A1112a|0 13|LDL cholesterol
P09541636T0000|0 13|Creatine kinase
P05027295T0034|0 13|Cholinesterase
P02527365T0000|0 13|Xenopus homolog
P02557217A0000|0 13|Beta-endorphin
P07519606A1269|0 12|Anti-NPROSP-C
P11860876A0409|0 12|HIV-1 C subtype
P10533066A0758|0 12|TSC1 mutations
P06802500T0001|0 12|Thyreoliberin
P08281536A0626|0 12|Interleukin-6
P10607900T0000|0 12|Sak kinase gene
P09397261A0940|0 12|Interleukin-1
P01402647A0114|0 11|DR1 molecules
P08871567A0000|0 11|MSSP proteins
P09630245A0102|0 11|Yeast U1 snRNP
P09819421A0000|0 11|Cyclophilins
P09538156A0130|0 11|BRCA1 protein
P06429992T0000|0 11|Gonadotropin
P09524276A0939|0 11|LysR proteins
P09395470A0294|0 11|CKbeta4GT-II
P00748978T0000|0 11|Serum relaxin
P07779558T0000|0 11|Muscle GSH-Px
P10633075A1111|0 11|Preimmune IgG
P09642227A0000|0 11|Osteoadherin
P06362143A0565|0 10|Plasma renin
P09790768A0621|0 10|Htra2-beta3
P10551816A0162|0 10|Human LTBP-1
P09050849A0000|0 10|Cytohesin-1
P09368026A0000|0 10|Osteocalcin
P11116084A0000|0 10|Mouse Impact
P03499657A0000|0 10|Osteocalcin
P03027905A0632|0 10|Plasma renin
P08702543A0000|0 10|Gap1(IP4BP)
P09148770A0977|0 10|Cellular Csk
P07959011A0379b|0 9|C/EBP alpha
P07959011A0379a|0 9|C/EBP alpha
P08555498A0427|0 9|Human LAF-4
P10489680A0927|0 9|Sputum IL-8
P09677405A0856|0 9|Pol32Delta
P08356792T0000|0 9|HTLV-1 gene
P06977605T0000|0 9|Endorphins
P06110026T0000|0 9|Endorphins
P09813098A0521|0 9|Paralemmin
P11290906T0000|0 9|Tumor-like
P10744026A0000|0 9|Invertases
P11311980A1049|0 9|GABA(B)R1g
P11560990A0272|0 9|E47 protein
P08118044A0318|0 9|GATA-1 mRNA
P02449431A1121|0 8|ATP gamma S
P09139694A0789|0 8|CTF1alpha
P07565669T0000|0 8|Ras p21Val
P07635572A1153|0 8|CIITA mRNA
P08643578A0000|0 8|RAS2val19
P09242551A0653|0 8|EBER1 mRNA
P10429184A0000|0 8|Expansins
P04563045T0000|0 8|1,3-bis(2
P10488148A0111|0 8|NF-kappaB
P07652582A0000|0 8|INF-alpha
P01695905A0480|0 8|GLUT5 mRNA
P10684534A0634|0 8|Protamine
P08626437A0332|0 8|Lyn kinase
P09651321A0000|0 8|Cystatin A
P09776360A1781|0 8|NF-kappaB
P09704006A0224|0 8|Arnt3 mRNA
P09933428A0351|0 8|IFN-gamma
P11529914T0000|0 8|NF-kappaB
P10946303A0000|0 8|TNF-alpha
P10373507A0680|0 8|SRFDelta5
P10840001A0188|0 8|Mucin gene
P09225998A0000|0 8|NF-kappa B
P01526658A0454|0 8|IFI 16 mRNA
P01380062A0097|0 7|T antigen
P10464291A0597|0 7|IL-1beta
P02444507A0240|0 7|Lysozyme
P11239529A0981|0 7|IL-1beta
P10553551A0000|0 7|Factor XI
P10620777A1399|0 7|AB004534
P08812106T0000|0 7|PCNA mRNA
P01864510A0946|0 7|Dd PK1 RNA
P09845662A0085|0 7|Collagen
P09436795A0350|0 7|Protein C
P10215594A1728|0 7|Glucagon
P09420234A0654|0 7|MpB GroEL
P11131634A0955|0 7|NF kappa B
P01916632A0431|0 7|Anti-HBc
P02236064A1178|0 7|S6 kinase
P07535768A1076|0 7|HVH2 mRNA
P10641037A1371|0 7|AF154055
P03371894A0355|0 7|Vimentin
P07293100T0001|0 6|Gastrin
P10385915A1341|0 6|D3S1261
P08628251A1455|0 6|CM-ACO3
P10441506A0098|0 6|PKNbeta
P10562418A0238|0 6|Insulin
P09185183T0000|0 6|Merosin
P00083846T0000|0 6|Albumin
P09254678A0106|0 6|Gtx mRNA
P09920930A0521|0 6|C3 toxin
P10743608A1154|0 6|TbRAB31
P10613816X0000|0 6|Statins
P02113174A0957|0 6|Krox-24
P09789025A0149|0 6|Galphaq
P10604583T0000|0 6|Albumin
P10544113A0293|0 6|EIAV LTR
P01081904A0198|0 5|Fibrin
P08927612T0000|0 5|Ki-ras
P11223257A0404|0 5|OsBBPI
P11413310A0148|0 5|RANTES
P10799590A0431|0 5|Jkappa
P10653697A0133|0 5|Actins
P08647884A0547|0 5|E3/19K
P01328219A1397|0 5|NSCL-1
P10433970A0279|0 5|Spfkh1
P02830265A0341|0 5|RPA190
P11589779T0000|0 5|HTLV-1
P09271394A0558|0 5|DNase I
P11578685A0077|0 5|ICAM-1
P10712512A0506|0 5|Ste18p
P07693672A0259|0 5|DNase I
P10684967A0000|0 5|NKX2.1
P11413148A0573|0 5|STAT5A
P11220306A0911|0 5|HexA71
P08515619A0184|0 5|Tl-201
P08534367A0984|0 5|PTP-S3
P09211934A0722|0 5|DNase I
P09414319A1442|0 5|Y15170
P10473598A0691|0 5|Skn-1a
P09001245A0187|0 5|NUP145
P09761723A0226|0 5|GETS-1
P01480470A0323|0 5|BiP670
P08134115A1161|0 5|MSSP-1
P09837933T0000|0 5|P-CIP1
P08093616A1214|0 5|DNase I
P06395804A0382|0 5|Urease
P09328476A0374|0 5|Hprp3p
P01581577A1186|0 4|PSI-G
P05362866T0000|0 4|Renin
P07542616A0486|0 4|GCD10
P08497273T0000|0 4|NF-HB
P01731933T0000a|0 4|Zn(II
P06322183A1070|0 4|NPT II
P09121476T0000|0 4|PRH75
P08005438A1185|0 4|SPP41
P07888623A0721|0 4|PMEK1
P08575618A1138|0 4|RNase
P09848653A0597|0 4|Nhp2p
P10698937T0000|0 4|TIP30
P10851267A0000|0 4|E2F -1
P11350957A0457|0 4|PACAP
P09704927A0479|0 4|E2F-6
P09584165T0000|0 4|RACK1
P09502720A0214|0 4|CyIIa
P09710615T0000|0 4|Vam7p
P08977235A0134|0 4|G-CSF
P09169853A0000|0 4|Pax-3
P09407036T0000|0 4|Tcn1p
P09244350A0000|0 4|BRCA1
P08552095A1115|0 4|Paf1p
P09353255A0159|0 4|Rip1p
P09257887A0457|0 4|G-CSF
P08204348T0000|0 4|VP-16
P11361493T0000|0 4|HIV-1
P07959953A0423|0 4|IFI16
P10908364A0000|0 4|G-DNA
P11046148A0716|0 4|LMP2A
P10358075A0984|0 4|DAF16
P10359603A0430|0 4|Vac1p
P07972831A0563|0 4|PAI-1
P10477597A0126|0 4|TRAF2
P02196176A0749|0 4|TREB7
P08898365A0274|0 4|Rss1p
P09002648A0202|0 4|BCL-2
P10891266A0421|0 4|ACE-2
P10675610A0279|0 4|MSSPs
P10518502T0000|0 4|nos-1
P10233147A0218|0 4|Ras2p
P01727488A1146|0 4|PRDII
P01691184A0995|0 4|Gap b3
P01695322A0000|0 4|Wnt-1
P01731933T0000b|0 4|Zn(II
P10653359A1297|0 4|Scmh1
P10407985A0574|0 4|G-CSF
P08576245A0000|0 4|GRP78
P07871891A0227|0 4|SUP46
P09058373A0670|0 4|RNase
P00030937A0119|0 3|SGPT
P09286981A0147|0 3|ArgR
P08012448T0000|0 3|INO2
P08139928T0000|0 3|RNP1
P08413274A0452|0 3|MDBP
P08621659A0189|0 3|Gas6
P01588961A0000|0 3|STP1
P08918885A0811|0 3|Kss1
P09115279A0345|0 3|Cdc2
P09079689A0472|0 3|MOP5
P08647086A0622|0 3|Cdk2
P01459451A0478|0 3|GAL4
P07879204T0000|0 3|OKT3
P09560430A0000|0 3|Ime1
P04778129T0000|0 3|9,11
P10564474T0000|0 3|PhoP
P09584194A0000|0 3|HEF1
P11473254A0000|0 3|NaeI
P11473261A0587|0 3|Mss4
P11387208T0000|0 3|SKP1
P11108720A0124|0 3|S6K2
P09880543A0570|0 3|HEED
P09020169A0552|0 3|SIM1
P10850329A0248|0 3|IL-2
P09918715A0304|0 3|MotA
P11287654A0150|0 3|PABP
P08552670A0665|0 3|Abp1
P11016954A0438|0 3|AGO1
P11056019A0926|0 3|MED1
P10490826T0000|0 3|EB-1
P08070654A0000|0 3|KAR1
P10490843A0159|0 3|BCL6
P10894149T0000|0 3|PNRC
P10594239A0614|0 3|Tih1
P07791760A0424|0 3|GnRH
P07791769A0826|0 3|ICP4
P10721717A0676|0 3|Fgd3
P07499409A0367|0 3|TPBF
P10722661A0146|0 3|CYC2
P03036933A0774|0 3|ACTH
P07783641A0591|0 3|CodY
P07954891T0000|0 3|ERV1
P03062370A0000|0 3|GCN4
P09770378A0641|0 3|EGFR
P10393197A0543|0 3|DDP1
P02538720A0582|0 3|UbiA
P10487762A0252|0 3|NuA4
P10779329T0000|0 3|Slap
P02125016A0145|0 3|PBSX
P10438950A0580|0 3|IL-1
P10430421T0000|0 3|APOE
P01825027T0000|0 3|PAS1
P01837842A1410|0 3|CREB
P09443973A1028|0 3|CES4
P10381570A1355|0 3|Slp1
P10086725A0000|0 3|MDS1
P01653238A1715|0 2|TPA
P08131746A0140|0 2|MEK
P07585246T0000|0 2|SL1
P11036939A2149|0 2|Dsh
P09242506A1033|0 2|E2F
P09366517A0835|0 2|PKA
P10679065A0711|0 2|BCR
P10704410T0000|0 2|Clb
P10773951A0000|0 2|IgM
P07951410A1332|0 2|E1A
P08199204A0746|0 2|H-7
P10817754T0000|0 2|H19
P08721999A0727|0 2|U24
P07665948A0591|0 2|IgE
P07982964A1017|0 2|ATX
P08392623A1374|0 2|IE2
P09716183A1036|0 2|TBP
P10866677A1839|0 2|Phd
P11292844A0081|0 2|HSF
P09488441A0615|0 2|Sp1
P02552143A0748|0 2|VP5
P10376991A0977|0 2|Ras
P09488491A0000|0 2|E2F
P01730412T0000|0 2|Max
P09455695A0762|0 2|ALT
P01886774A0000|0 2|POU
P01098592A0567|0 2|IgG
P09819110A0703|0 2|CD4
P09234703A0192|0 2|JNK
P09799237A0624|0 2|SRF
P09844921A0000|0 2|Raf
P09006914A0812|0 2|JNK
P09006935A0590|0 2|Sp1
P07629113A0726|0 2|SCA
P11569900A0660|0 2|APC
P02200315A0278|0 2|IgG
P09261397A0509|0 2|Gag
P10364163A0092|0 2|Hrs
P07657668A0642|0 1|TH
P09076336A0281|0 1|GH
P11882747A0354|0 1|CD
P09328476A0068|0 1|U4
P01284032A0213|0 1|AP
P11777632A1678|0 1|AF
P08555597A0808|0 1|Hb
P09813041A1122|0 1|GH
P10364319A0109|0 1|Cp
P03178161A0000|0 0|E
P08411276A0302|0 0|A
P11369700A0074|0 0|C
P00427715A0000|0 0|A
P11391303A0807|0 0|R
P02747653A0910|1 25|larval albumin-like protein
P09361007A0922|1 25|DNase I-hypersensitive site
P07651398T0000|1 24|Drosophila shc gene product
P07590268A0740|1 22|2.4-kb MAPKAPK-2 message
P07516866A0000|1 22|full-length PRL receptor
P08637717A1231|1 10|p21 peptide
P02840376A0461|1 8|anti-IIa
P09352016A1110|1 3|ii)
P09038192A0846|1 3|MEK
P08082440A0339a|1 2|LH
P01241866A0682|1 1|5
P01947449A1082|1 1|2
P00555492A1034|1 1|5
P00111174A0351|1 1|c
P06070072T0052|1 1|3
P09140079A2528|1 1|3
P05892712T0034|1 1|3
P02335521T0000|2 40|NF1-related vitellogenin activator element
P01340470A0000|2 23|RNA-binding protein gene
P08878044A1390|2 19|InlC deletion mutant
P08521717A0126|2 17|immunoperoxidase
P09165118A0311|2 13|unc-4 mutants
P09030688A0435|2 12|rlf2 mutants
P09105530A0000|2 11|egg protein
P02644735A0427|2 9|FP mutant
P07876192A0443|2 4|ICE
P00050628A0202|2 4|IgG
P09388201A1027|2 3|PU
P02926499A0340|2 2|c
P08172905A0000|3 73|class II Escherichia coli alanine tRNA synthetase aminoacylates RNA miniduplexes
P07665605A1127|3 47|plasmin-derived D (approximately 105-kDa) product
P10195690A0000|3 43|peroxisome proliferator-activated receptors
P09917387T0000|3 41|RNA polymerase III-recruiting factor TFIIIB
P01549118A0000|3 40|Caenorhabditis elegans vitellogenin genes
P09829843A0119|3 40|hematopoietic colony-stimulating factors
P02549036A0000|3 38|Bacillus subtilis phage phi 105 repressor
P07751848A0222|3 37|carnitine palmitoyltransferase (CPT) I
P09271417A1011|3 37|MCAD nuclear receptor response element 1
P09121432A0000|3 37|Ras guanine nucleotide-binding protein
P03143485A0366|3 36|Euglena ribosomal protein gene cluster
P09373140A0000|3 35|mouse M-lysozyme downstream enhancer
P10438593A0000|3 34|human immunodeficiency virus type-1
P10826861A0000|3 34|monoclonal immunoglobulin products
P02023097A0000|3 33|human immunodeficiency virus type 1
P08157009T0000|3 33|Saccharomyces cerevisiae APS1 gene
P02784507A0000|3 33|human immunodeficiency virus type 1
P03123310A0000|3 32|Drosophila melanogaster Gart gene
P09712297T0000|3 32|prothrombin gene G20210A mutation
P02167467T0000|3 32|26S rRNA binding ribosomal protein
P09828137A0000|3 31|Schizosaccharomyces pombe rad1+
P10542277A0000|3 31|importin alpha.beta heterodimer
P08163183T0000|3 30|xylose isomerase-encoding gene
P07659746A1464|3 30|CVA16.4 proteolipid transcript
P01556068A0000|3 29|Klebsiella aerogenes gene maoA
P02545357A0000|3 29|mustard chloroplast gene rps16
P02034655A1224|3 28|alpha 4 gene 5' flanking region
P08385131A0000|3 28|alpha 2A-adrenergic receptor
P10972990A0196|3 28|tumor-suppressor protein p53
P08396120A0690|3 28|rhaB transcription start site
P10383966A0000|3 27|penicillin binding proteins
P07592771A0258|3 27|mouse beta 2-syntrophin gene
P09852068A0150b|3 27|human SHBG proximal promoter
P09368100A1354|3 27|mHIF-1 alpha structural gene
P07958446A0000|3 27|hepatocyte nuclear factor-3
P09515924A0553|3 26|PDH complex-encoding genes
P08382303A0507|3 25|E1 nuclear transport motif
P06308536T0001|3 25|hepatitis A virus antibody
P02967496A0182|3 25|cpc-1-encoded transcript
P08101843A0151|3 25|tyrosine hydroxylase gene
P01852603A0000|3 25|rad9.192 DNA repair mutant
P02466665A0202|3 25|small IGF-binding protein
P02247072A0794|3 25|SUP44 suppressor mutation
P09858572A0000|3 25|yeast retrotransposon Ty5
P08415637A0000|3 24|ADP-ribosylation factor
P09488486A0000|3 24|TATA box-binding protein
P10918612A0000|3 24|transcription factor Jun
P06090458A0407|3 23|PEPCK promoter fragment
P10640701T0000|3 23|Pax2/5/8-binding sites
P08442384T0000|3 23|SCH9 protein kinase mRNA
P01826043A0431|3 23|pp90rsk-protein kinase
P08816759A0000|3 23|retinoid Z receptor beta
P02164585A0416|3 23|TraD protein (83,899 Da)
P09016566A0655|3 23|Y-type structural motif
P08485317A0000|3 23|fission yeast dsk1+ gene
P11454703A0000|3 23|telomerase RNA-protein
P10708769A0433|3 22|Mif1 5' flanking region
P11235817A0000|3 21|histamine H1 receptor
P10022925A0870|3 21|Nmd3 protein sequence
P08534855A0000|3 21|Arabidopsis FAD7 gene
P01549346A0000|3 20|c-Ets-1 oncoprotein
P01647070A0232|3 20|mutant JCV T antigens
P09843378A0187|3 20|dopamine D4 receptor
P07622058A0411|3 20|PEBP2 alpha proteins
P09323366A0000|3 20|malate synthase gene
P08021175A0486|3 20|pexB upstream region
P09819430A0000|3 20|Ras-related GTPases
P08289783A0000|3 20|Oct-3/4 gene product
P08530342T0000|3 19|human gp39 promoter
P08087887A1067|3 19|polyubiquitin gene
P02406570A0466|3 19|ABFI-binding sites
P08324107A0000|3 18|plasmatic albumin
P09219526A0383|3 18|Man9-mannosidase
P08771781A1103|3 18|ORFII gene product
P07647303T0000|3 18|homeobox gene ATK1
P11134033A0000|3 18|murine int-6 locus
P11207216A0296|3 18|bovine PGHS-2 cDNA
P08503348A0226|3 17|HMG CoA reductase
P09029104A0226|3 17|14.1(IGLL1) gene
P11070056A0704|3 17|Cili-2 sequences
P09421507A0000|3 17|SR protein family
P09060623A0961|3 17|human coreceptor
P09368014A0740|3 17|lysozyme FEF site
P10598101A0754|3 16|mEmBP-1 protein
P02403926A0000|3 16|trk-2h oncogene
P01601181A0842|3 16|60A transcripts
P09781874A1061|3 16|cwg2-1 mutation
P08623554A1058|3 15|17-kDa protein
P09074508A0397|3 15|human CD38 gene
P08491383A0154|3 15|alpha-subunit
P09467900A0701|3 15|CAPLC1 protein
P07937106A0100|3 15|v-ets oncogene
P11179689A0000|3 15|Sox gene family
P06120429T0000|3 15|thyroglobulin
P09698457A0976|3 15|mutant protein
P10051400A0000|3 15|Lp mouse mutant
P09003001A1909|3 15|E-box sequence
P08567683A0401|3 15|human purH cDNA
P10359673A0000|3 15|yeast LPD1 gene
P02022920A0334|3 15|C4BP alpha gene
P09858571T0000|3 15|yeast RER2 gene
P09201980A0910|3 15|p20-CGGBP gene
P07797476A1001|3 14|RAP74 subunit
P07774807A0405|3 14|bHLH proteins
P02004705A0686|3 14|cdr1 sequence
P10447597A1004|3 14|Cr.psbA-4 ORF
P08970984A0765|3 14|SCMV SNE sites
P08262041A0727|3 14|phi AP3 factor
P08901135A1132|3 13|NIT2 protein
P10369965A0000|3 13|Aa-Pri2 gene
P10448095A0865|3 13|STAT protein
P09264466A0947|3 13|Cut9 subunit
P08977401A0227|3 13|RI alpha gene
P10458907A0543|3 13|human RAD30B
P08972182A0000|3 13|Fas receptor
P08702756A0000|3 13|small GTPase
P07514301A0000|3 12|interferon
P11331589A0113|3 12|MSL complex
P10567524T0000|3 12|elm1 kinase
P01744042A1355|3 12|csbA fusion
P09023197T0000|3 12|dnaK operon
P09029159A0000|3 12|interferon
P02154467A0709|3 12|PC2 protein
P08574583A0658|3 12|Clb5 kinase
P03883541A0200|3 12|H2 receptor
P10455189A0427|3 12|calcitonin
P08232412A1342|3 12|lemdr1 gene
P08597636A0000|3 12|T-box motif
P03863231A0530|3 12|M-3 subtype
P07568026A0622|3 12|Stat5b mRNA
P02187871T0000|3 11|ANB1 locus
P07731686A0000|3 11|TTG-2 gene
P07677715A1076|3 11|TAF factor
P06698047A0445|3 11|Prolactin
P02674327A0493|3 11|p34.8 gene
P09658405A0000|3 11|Dax-1 gene
P10544088A0308|3 11|NF-kappaB
P09528784A0000|3 11|mei4+ gene
P08496157A0000|3 11|bcl-2 gene
P08524294A0652|3 11|skp1+ gene
P08125319A1085|3 11|ipiO genes
P08393143A1281|3 11|Sp1 region
P08910567A2269|3 11|human gene
P09380504A1255|3 11|ZnF20 cDNA
P07779812A0000|3 11|c-myc gene
P02970061A0271|3 11|RAD18 gene
P09754571A1257|3 11|hBRAG gene
P02300577A0852|3 11|beta chain
P08898893A0202|3 11|PAI-2 gene
P10333526A0459|3 11|hTERT gene
P11098217A0674|3 11|Aie1 locus
P02247069A0261|3 10|TUP1 gene
P07890674A0916|3 10|catenins
P02121371T0000|3 10|NF1 locus
P08063108A0109|3 10|acfD gene
P02163394T0000|3 10|sacT gene
P01569945A0529|3 10|SEN1 gene
P07890740A0997|3 10|PSD2 gene
P08605324A0434|3 10|viral LTR
P08633855A1064|3 10|lacS gene
P01398074A1081|3 10|RNase MRP
P07626806A1098|3 10|RAT3 gene
P08878037A0000|3 10|gene ccpA
P11073954A0337|3 10|Psc2 cDNA
P03040403A0155|3 9|PSS gene
P02138915A1060|3 9|p36 gene
P08934540A0673|3 9|nm23-H1
P02148799A0000|3 9|nmr gene
P03065610A0375|3 9|rci gene
P08209772A0167|3 9|ns2 gene
P07964624A0491|3 9|P131 ORF
P07933116A0412|3 9|p55 mRNA
P09005979A0841|3 9|GHR mRNA
P09049306A0830|3 9|HBP gene
P10652800A0984|3 9|insulin
P01325386A0766|3 8|hit1-1
P01573270A0000|3 8|IA4 mAb
P11691585T0000|3 8|hcKrox
P09202669A0614|3 8|pWP-19
P11244568A0506|3 8|Gap69C
P08514766A0732|3 8|GTPase
P08429019A0735|3 8|DNase I
P08415643A0555|3 8|E1 gene
P03001645A0785|3 7|pet56
P07752223A0960|3 7|Myc LZ
P10936051T0000|3 7|RS447
P08660998A0851|3 7|mMIWC
P09426068A0826|3 7|c-myc
P06316347A0852|3 6|dnaQ
P08768374A0765|3 6|P-wr
P08647086A0720|3 6|Cdk2
P08021177A0000|3 6|fepA
P08524314A0216|3 6|TEA1
P07730273A1309|3 6|NarX
P10611228A1388|3 6|DAP5
P01615493A0408|3 6|HC II
P08828152A1825|3 6|RPO1
P07720710A0861|3 5|Oct
P10728986A0000|3 5|Wnt
P09343432A0209|3 5|Scm
P01422265A0263|3 5|IgG
P01383690A1023|3 5|ARG
P10777217A0536|3 5|p53
P08835895A1292|3 5|CD4
P11069999A1602|3 5|U17
P01780235A0094|3 5|EPO
P07876300A0994|3 5|p97
P02424743A0280|3 4|N1
P03436877A0950|3 3|c
P11433379A0000|4 46|SHP2-interacting transmembrane adaptor protein
P07659515T0000|4 25|non-LTR retrotransposon
P11570820T0000|4 24|casein kinase I isoforms
P02556264A0278|4 16|TC-II enhanson
