P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10094396A0000|0 14|Topoisomerase II
P08825554A0000|0 14|Tristetraprolin
P03143048A1091|0 14|HDL-cholesterol
P10209759T0000|0 14|Antithrombin III
P06702257T0001|0 14|Antithrombin III
P06402859A0000|0 14|Antithrombin III
P07791783A0000|0 14|SRY-related cDNA
P07559233A0534|0 14|Citrate synthase
P00072928T0000|0 13|Serum-ferritin
P02527365T0000|0 13|Xenopus homolog
P08663120T0000|0 13|Oncogenic Raf-1
P08654390A0000|0 13|Heme oxygenase 1
P08670910A0156|0 13|DNA polymerase E
P05027295T0034|0 13|Cholinesterase
P09541636T0000|0 13|Creatine kinase
P09606633A0523|0 13|Interferon beta
P08536694A0000|0 13|Protein kinases
P09914525A0890|0 13|Recombinant Ffh
P04139081T0001|0 13|HL-A antibodies
P08348919T0000|0 13|Botulinum toxin
P02557217A0000|0 13|Beta-endorphin
P02535460A1443|0 13|RNA transcripts
P07519606A1269|0 12|Anti-NPROSP-C
P09452444A0000|0 12|Interleukin-6
P09211354A0000|0 12|Stromelysin-1
P08923470A0458|0 12|PPAR gamma mRNA
P08013348A0143|0 12|Mammalian ABPs
P06513456T0001|0 12|Adenyl cyclase
P06802500T0001|0 12|Thyreoliberin
P11313386A0704|0 12|SH2D1A protein
P08281536A0626|0 12|Interleukin-6
P09397261A0940|0 12|Interleukin-1
P11860876A0409|0 12|HIV-1 C subtype
P11706949T0000|0 12|Growth hormone
P01317376A0981|0 11|Fructokinase
P07806532A0659|0 11|Protein cHMGI
P10633075A1111|0 11|Preimmune IgG
P06938948T0001|0 11|Secretory IgA
P09819421A0000|0 11|Cyclophilins
P09630245A0102|0 11|Yeast U1 snRNP
P09642227A0000|0 11|Osteoadherin
P09079928A0525|0 11|M. leprae OxyR
P09418040T0000|0 11|Mg-chelatase
P08871567A0000|0 11|MSSP proteins
P01827068T0000|0 10|Human GATA-3
P08106369A0000|0 10|Vasopressin
P09544991A0483|0 10|PRL receptor
P09368026A0000|0 10|Osteocalcin
P11116084A0000|0 10|Mouse Impact
P11279038A0194|0 10|WRN helicase
P09148770A0977|0 10|Cellular Csk
P10551816A0162|0 10|Human LTBP-1
P03319646T0000|0 10|Plasma renin
P09050849A0000|0 10|Cytohesin-1
P08702543A0000|0 10|Gap1(IP4BP)
P08013457A0342|0 10|Src homology
P00676790T0000|0 10|Angiotensin
P08144037A0000|0 10|Thioredoxin
P10446131A0132|0 10|PDGF A-chain
P07018810A0002|0 10|Plasma renin
P06110026T0000|0 9|Endorphins
P08923460A0565|0 9|RUSH-1 beta
P11290906T0000|0 9|Tumor-like
P11311980A1049|0 9|GABA(B)R1g
P10489680A0927|0 9|Sputum IL-8
P10344736A0796|0 9|CDK4 kinase
P06977605T0000|0 9|Endorphins
P08555498A0427|0 9|Human LAF-4
P07959011A0379b|0 9|C/EBP alpha
P11560990A0272|0 9|E47 protein
P08118044A0318|0 9|GATA-1 mRNA
P10744026A0000|0 9|Invertases
P09813098A0521|0 9|Paralemmin
P02449431A1121|0 8|ATP gamma S
P09651321A0000|0 8|Cystatin A
P07565669T0000|0 8|Ras p21Val
P09506439A2179|0 8|PKC-gamma
P10684534A0634|0 8|Protamine
P09393771A1659|0 8|TNF-alpha
P09225998A0000|0 8|NF-kappa B
P09933428A0351|0 8|IFN-gamma
P09704006A0224|0 8|Arnt3 mRNA
P07635572A1153|0 8|CIITA mRNA
P09242551A0653|0 8|EBER1 mRNA
P10429184A0000|0 8|Expansins
P07652582A0000|0 8|INF-alpha
P04563045T0000|0 8|1,3-bis(2
P08643578A0000|0 8|RAS2val19
P09139694A0789|0 8|CTF1alpha
P10373507A0680|0 8|SRFDelta5
P10840001A0188|0 8|Mucin gene
P01695905A0480|0 8|GLUT5 mRNA
P02236064A1178|0 7|S6 kinase
P09285789A0712|0 7|Human Duo
P10215594A1728|0 7|Glucagon
P08264664A0128|0 7|TGF beta 1
P10464291A0597|0 7|IL-1beta
P09436795A0350|0 7|Protein C
P01864510A0946|0 7|Dd PK1 RNA
P02444507A0240|0 7|Lysozyme
P10553551A0000|0 7|Factor XI
P11131634A0955|0 7|NF kappa B
P10620777A1399|0 7|AB004534
P07658262A0944|0 7|Protein S
P01588965A0000|0 7|GCR1 gene
P01916632A0431|0 7|Anti-HBc
P10384129A0000|0 7|TCR alpha
P10641037A1371|0 7|AF154055
P09111314A0970|0 7|Cyclin D1
P11239529A0981|0 7|IL-1beta
P09845662A0085|0 7|Collagen
P08812106T0000|0 7|PCNA mRNA
P07835273A0000|0 6|Insulin
P09712037A0470|0 6|Tctex-1
P02113174A0957|0 6|Krox-24
P10228155A1293|0 6|SCFFWD1
P09185183T0000|0 6|Merosin
P10562418A0238|0 6|Insulin
P09254678A0106|0 6|Gtx mRNA
P10613816X0000|0 6|Statins
P10743608A1154|0 6|TbRAB31
P00083846T0000|0 6|Albumin
P07293100T0001|0 6|Gastrin
P10773458A0000|0 6|SNAP-23
P08628251A1455|0 6|CM-ACO3
P10542249A0415|0 6|Albumin
P01480470A0323|0 5|BiP670
P01081904A0198|0 5|Fibrin
P11220306A0911|0 5|HexA71
P07693672A0259|0 5|DNase I
P11413310A0148|0 5|RANTES
P11589779T0000|0 5|HTLV-1
P09328476A0374|0 5|Hprp3p
P10712512A0506|0 5|Ste18p
P09271394A0558|0 5|DNase I
P10905349A0329|0 5|Mus81p
P10433970A0279|0 5|Spfkh1
P11578685A0077|0 5|ICAM-1
P10551788A0229|0 5|LHbeta
P10653697A0133|0 5|Actins
P06233924T0000|0 5|Fibrin
P09001245A0187|0 5|NUP145
P09211934A0722|0 5|DNase I
P09705324A0213|0 5|DNase I
P08927612T0000|0 5|Ki-ras
P08093616A1214|0 5|DNase I
P08134115A1161|0 5|MSSP-1
P09761723A0226|0 5|GETS-1
P10473598A0691|0 5|Skn-1a
P02830265A0341|0 5|RPA190
P08617800A0675|0 5|DNase I
P08476854A0097|0 5|DNase I
P01328219A1397|0 5|NSCL-1
P06395804A0382|0 5|Urease
P00378492A0475|0 4|Renin
P07959953A0423|0 4|IFI16
P07972831A0563|0 4|PAI-1
P08070654A0574|0 4|CDC31
P03785212A1128|0 4|RPS14
P08504933A0000|0 4|Pit-1
P07542616A0313|0 4|GCD10
P07678006A0472|0 4|RNase
P08497273T0000|0 4|NF-HB
P01731933T0000b|0 4|Zn(II
P02204029A0184|0 4|RNase
P07579328A0653|0 4|MZF-1
P08575618A1138|0 4|RNase
P07888623A0721|0 4|PMEK1
P09797456A0883|0 4|AMY-1
P10400757A0000|0 4|CXCR4
P10407985A0574|0 4|G-CSF
P09468386A0594|0 4|Pet-1
P10908364A0000|0 4|G-DNA
P09650299A0000|0 4|VirD2
P11046148A0716|0 4|LMP2A
P10698937T0000|0 4|TIP30
P10891266A0421|0 4|ACE-2
P11350957A0457|0 4|PACAP
P11416737T0000|0 4|Ga-67
P11361493T0000|0 4|HIV-1
P01691184A0995|0 4|Gap b3
P09528758T0000|0 4|Rex-1
P09002648A0202|0 4|BCL-2
P09065690A0463|0 4|Ume6p
P08648665A1320|0 4|ORF E8
P07542616A0486|0 4|GCD10
P10358075A0984|0 4|DAF16
P10359603A0430|0 4|Vac1p
P05362866T0000|0 4|Renin
P10477597A0126|0 4|TRAF2
P09891085A0815|0 4|Nip7p
P10505694A0739|0 4|IL-12
P09710615T0000|0 4|Vam7p
P09584165T0000|0 4|RACK1
P09792627A0441|0 4|SRC-1
P01731933T0000a|0 4|Zn(II
P09407036T0000|0 4|Tcn1p
P08196618A0473|0 4|PRL-1
P08898336A0268|0 4|RNase
P01581577A1186|0 4|PSI-G
P08977235A0134|0 4|G-CSF
P09244350A0000|0 4|BRCA1
P09257887A0457|0 4|G-CSF
P00030937A0119|0 3|SGPT
P10487762A0252|0 3|NuA4
P10393197A0543|0 3|DDP1
P10850329A0248|0 3|IL-2
P07557424A0124|0 3|XYL1
P09790771A0956|0 3|Gng3
P08336698T0000|0 3|TFEC
P08647086A0622|0 3|Cdk2
P08070654A0000|0 3|KAR1
P07954891T0000|0 3|ERV1
P08106325A0000|0 3|DtxR
P08045431A0894|0 3|HupI
P07768953T0039|0 3|EEA1
P07783641A0591|0 3|CodY
P07535593A0714|0 3|CD7+
P03036933A0774|0 3|ACTH
P09560430A0000|0 3|Ime1
P07879204T0000|0 3|OKT3
P02125016A0145|0 3|PBSX
P03062370A0000|0 3|GCN4
P07499409A0367|0 3|TPBF
P01825027T0000|0 3|PAS1
P01837842A1410|0 3|CREB
P07926748A0383|0 3|NOT4
P08413274A0452|0 3|MDBP
P01588961A0000|0 3|STP1
P08532536A0925|0 3|TIEG
P09115279A0345|0 3|Cdc2
P08649372A0501|0 3|Clb2
P09584194A0000|0 3|HEF1
P09770378A0641|0 3|EGFR
P10564474T0000|0 3|PhoP
P10594239A0614|0 3|Tih1
P10381570A1355|0 3|Slp1
P10742114A0486|0 3|Dll3
P10684967A0000|0 3|NKX2
P11108720A0124|0 3|S6K2
P11113201A1114|0 3|Pmt2
P10894149T0000|0 3|PNRC
P08552670A0665|0 3|Abp1
P11473261A0587|0 3|Mss4
P11274184A0000|0 3|Nrf2
P11287654A0150|0 3|PABP
P09915860A0119|0 3|Sp1'
P09286981A0147|0 3|ArgR
P08918885A0811|0 3|Kss1
P11016954A0438|0 3|AGO1
P10931950A0869|0 3|Cdk2
P09079689A0472|0 3|MOP5
P10391903T0000|0 3|Gab2
P10947840A0762|0 3|Mis3
P08139928T0000|0 3|RNP1
P09880543A0570|0 3|HEED
P09788739A1096|0 3|CKII
P09918715A0304|0 3|MotA
P08621659A0189|0 3|Gas6
P10490826T0000|0 3|EB-1
P09475724T0000|0 3|TOR2
P10490843A0159|0 3|BCL6
P10557072A0418|0 3|ULKs
P10722661A0146|0 3|CYC2
P01321277A0664|0 2|ROS
P07538173A0307|0 2|MBP
P01402647A0114|0 2|DR1
P09147420T0000|0 2|TAR
P09455695A0762|0 2|ALT
P07951410A1332|0 2|E1A
P11433379A0000|0 2|SIT
P11150315A1126|0 2|NGF
P07982964A1017|0 2|ATX
P10376991A0977|0 2|Ras
P07665948A0591|0 2|IgE
P09366517A0835|0 2|PKA
P11292844A0081|0 2|HSF
P11278440A0095|0 2|SV1
P01730412T0000|0 2|Max
P11150315A0844|0 2|NGF
P03380547A0169|0 2|SPA
P09844921A0000|0 2|Raf
P02552143A0748|0 2|VP5
P01098592A0567|0 2|IgG
P11036939A2149|0 2|Dsh
P09799237A0624|0 2|SRF
P09819110A0703|0 2|CD4
P11012680A0676|0 2|Src
P10866677A1839|0 2|Phd
P09230307A0329|0 2|FOG
P09006914A0812|0 2|JNK
P09006935A0590|0 2|Sp1
P08798782A0976|0 2|Lck
P10667597A0668|0 2|ZK7
P07629113A0726|0 2|SCA
P09242506A1033|0 2|E2F
P09178752A0574|0 2|EGF
P08392623A1374|0 2|IE2
P08131746A0140|0 2|MEK
P08631908A0224|0 2|VDR
P09639074A0707|0 2|Sp1
P09573378A0761|0 2|U73
P11569900A0660|0 2|APC
P08555597A0808|0 1|Hb
P09328476A0068|0 1|U4
P09076336A0281|0 1|GH
P09813041A1122|0 1|GH
P11777632A1678|0 1|AF
P01284032A0213|0 1|AP
P09892642A0172|0 1|E1
P10824485A0393|0 0|T
P09582635A0523|0 0|R
P00430247A1073|0 0|i
P11391303A0807|0 0|R
P02193033A0195|0 0|R
P07559430A0909|0 0|R
P11023934A0855|0 0|L
P01763065A0913|0 0|P
P07609372A0261|0 0|M
P10962564A0883|1 26|beta2 RARE reporter construct
P09361007A0922|1 25|DNase I-hypersensitive site
P07651398T0000|1 24|Drosophila shc gene product
P07516866A0000|1 22|full-length PRL receptor
P02840376A0461|1 8|anti-IIa
P10228157T0000|1 5|Bub2p
P10862289A0289|1 3|GUT
P09038192A0846|1 3|MEK
P05892712T0034|1 1|3
P01947449A1082|1 1|2
P01241866A0682|1 1|5
P00555492A1034|1 1|5
P06070072T0052|1 1|3
P11297419A0894|2 31|F222W:W21F rGST A1-1 double mutant
P08521717A0126|2 17|immunoperoxidase
P09165118A0311|2 13|unc-4 mutants
P10779508A0452|2 7|DNase I
P08628302A0683|2 7|hnRNP K
P02482293A1518|2 4|TNF
P00050628A0202|2 4|IgG
P02926499A0340|2 2|c
P08172905A0000|3 73|class II Escherichia coli alanine tRNA synthetase aminoacylates RNA miniduplexes
P01549118A0000|3 40|Caenorhabditis elegans vitellogenin genes
P09829843A0119|3 40|hematopoietic colony-stimulating factors
P09380697T0000|3 39|sterol regulatory element-like sequences
P07565113A0000|3 38|chloramphenicol-resistance transposon
P09677330A0584|3 38|PDE4A-subfamily-specific linker region
P09271417A1011|3 37|MCAD nuclear receptor response element 1
P09765394A0000|3 36|Epstein-Barr virus transactivator Zta
P03143485A0366|3 36|Euglena ribosomal protein gene cluster
P07628438T0000|3 34|Drosophila insulin receptor homolog
P10438593A0000|3 34|human immunodeficiency virus type-1
P09409821T0000|3 34|Saccharomyces cerevisiae RAD30 gene
P02023097A0000|3 33|human immunodeficiency virus type 1
P01703632T0000|3 33|Drosophila suppressor of sable gene
P07862168A0000|3 33|interleukin 2 receptor alpha-chain
P03123310A0000|3 32|Drosophila melanogaster Gart gene
P09712297T0000|3 32|prothrombin gene G20210A mutation
P02167467T0000|3 32|26S rRNA binding ribosomal protein
P08207805A0000|3 31|p53 tumor suppressor gene product
P07862533A0000|3 31|Wilms' tumour suppressor protein
P02627159A0899|3 30|antigen-specific IgG4 antibody
P08943032A0000|3 30|Escherichia coli tet-repressor
P09747873T0000|3 30|SH2-containing adapter protein
P07659746A1464|3 30|CVA16.4 proteolipid transcript
P08882492A0000|3 30|mammalian homeodomain proteins
P08349104A0000|3 29|Saccharomyces cerevisiae GAL1
P02545357A0000|3 29|mustard chloroplast gene rps16
P10972990A0196|3 28|tumor-suppressor protein p53
P06324121A0256|3 28|12,000 MW (12K) IE polypeptide
P08396120A0690|3 28|rhaB transcription start site
P10810083A1283|3 28|serine-threonine kinase gene
P08385131A0000|3 28|alpha 2A-adrenergic receptor
P01545792A0000|3 27|cardiac myosin light chain-2
P09368100A1354|3 27|mHIF-1 alpha structural gene
P08039422A0000|3 27|nerve growth factor beta gene
P10383966A0000|3 27|penicillin binding proteins
P07592771A0258|3 27|mouse beta 2-syntrophin gene
P09515924A0553|3 26|PDH complex-encoding genes
P09858572A0000|3 25|yeast retrotransposon Ty5
P02967496A0182|3 25|cpc-1-encoded transcript
P02247072A0794|3 25|SUP44 suppressor mutation
P08101843A0151|3 25|tyrosine hydroxylase gene
P02466665A0202|3 25|small IGF-binding protein
P08415637A0000|3 24|ADP-ribosylation factor
P10385395A0000|3 24|high density lipoprotein
P09488486A0000|3 24|TATA box-binding protein
P02164585A0416|3 23|TraD protein (83,899 Da)
P08816759A0000|3 23|retinoid Z receptor beta
P01826043A0431|3 23|pp90rsk-protein kinase
P08442384T0000|3 23|SCH9 protein kinase mRNA
P10613863T0000|3 23|VirR response regulator
P08485317A0000|3 23|fission yeast dsk1+ gene
P10640701T0000|3 23|Pax2/5/8-binding sites
P11454703A0000|3 23|telomerase RNA-protein
P11368363A1103|3 22|human protein sequence
P10708769A0433|3 22|Mif1 5' flanking region
P09301350A0946|3 21|sputum interleukin-8
P10022925A0870|3 21|Nmd3 protein sequence
P07927130A0625|3 21|hyperimmunoglobulin
P05471866T0000|3 21|plasma growth hormone
P01549346A0000|3 20|c-Ets-1 oncoprotein
P09843378A0187|3 20|dopamine D4 receptor
P11267679A0102|3 20|438 bp EcoRI fragment
P02406570A0466|3 19|ABFI-binding sites
P08530342T0000|3 19|human gp39 promoter
P08087887A1067|3 19|polyubiquitin gene
P01837787T0000|3 18|murine Mov-34 gene
P10556033A0000|3 18|RFX protein family
P11134033A0000|3 18|murine int-6 locus
P09219526A0383|3 18|Man9-mannosidase
P08771781A1103|3 18|ORFII gene product
P07857762A0611|3 18|MAP kinase cascade
P09003410A0000|3 18|human p100 protein
P10650938T0000|3 18|estrogen receptor
P08387994A0980|3 18|orf61 gene product
P08324107A0000|3 18|plasmatic albumin
P07835886A0894|3 17|kallistatin gene
P09029104A0226|3 17|14.1(IGLL1) gene
P09368014A0740|3 17|lysozyme FEF site
P09060623A0961|3 17|human coreceptor
P09421507A0000|3 17|SR protein family
P07559356T0000|3 16|hypBFCDE operon
P02403926A0000|3 16|trk-2h oncogene
P11500512A0000|3 16|human ABCG1 gene
P08183552T0000|3 16|human eps15 gene
P10598101A0754|3 16|mEmBP-1 protein
P03137346A0319|3 15|nucleolin gene
P09705497A0227|3 15|yeast MMS2 gene
P09074508A0397|3 15|human CD38 gene
P08567683A0401|3 15|human purH cDNA
P10359673A0000|3 15|yeast LPD1 gene
P10997904A1258|3 15|Spo0F residues
P01711041A0962|3 15|C5 alpha-chain
P08223425T0000|3 15|yeast SSS1 gene
P06120429T0000|3 15|thyroglobulin
P08491383A0154|3 15|alpha-subunit
P09003001A1909|3 15|E-box sequence
P02022920A0334|3 15|C4BP alpha gene
P09201980A0910|3 15|p20-CGGBP gene
P10051400A0000|3 15|Lp mouse mutant
P08262041A0727|3 14|phi AP3 factor
P09195923A0125|3 14|immunophilin
P08970984A0765|3 14|SCMV SNE sites
P02004705A0686|3 14|cdr1 sequence
P08972182A0000|3 13|Fas receptor
P09774662A0958|3 13|ARF promoter
P09264466A0947|3 13|Cut9 subunit
P10369965A0000|3 13|Aa-Pri2 gene
P10458907A0543|3 13|human RAD30B
P09636708A0460|3 13|YccA protein
P08702756A0000|3 13|small GTPase
P08977401A0227|3 13|RI alpha gene
P09111331A0119|3 13|Rlm1 protein
P02083253A1512|3 12|TCF-1 alpha
P08499916A0000|3 12|COL7A1 gene
P08574583A0658|3 12|Clb5 kinase
P08412665A0000|3 12|scr regulon
P03863231A0530|3 12|M-3 subtype
P10567524T0000|3 12|elm1 kinase
P08219081A0000|3 12|PRB-1b gene
P08232412A1342|3 12|lemdr1 gene
P07947930A0499|3 12|fibrinogen
P08682155A0902|3 12|euglobulin
P03883541A0200|3 12|H2 receptor
P01744042A1355|3 12|csbA fusion
P07568026A0622|3 12|Stat5b mRNA
P10455189A0427|3 12|calcitonin
P11331589A0113|3 12|MSL complex
P10777669A0582|3 12|ZNF274 gene
P07798134T0000|3 11|hsp70 gene
P08125319A1085|3 11|ipiO genes
P08496157A0000|3 11|bcl-2 gene
P09528784A0000|3 11|mei4+ gene
P07779812A0000|3 11|c-myc gene
P10544088A0308|3 11|NF-kappaB
P09754571A1257|3 11|hBRAG gene
P08393143A1281|3 11|Sp1 region
P07731686A0000|3 11|TTG-2 gene
P06698047A0445|3 11|Prolactin
P08524294A0652|3 11|skp1+ gene
P01457380A0000|3 11|tramtrack
P08914522A0118|3 11|STE20 gene
P08898893A0202|3 11|PAI-2 gene
P09524259A0301|3 11|hp55 gamma
P10333526A0459|3 11|hTERT gene
P08910567A2269|3 11|human gene
P07677715A1076|3 11|TAF factor
P11098217A0674|3 11|Aie1 locus
P02247069A0261|3 10|TUP1 gene
P07890740A0997|3 10|PSD2 gene
P07890674A0916|3 10|catenins
P08063108A0109|3 10|acfD gene
P11073954A0337|3 10|Psc2 cDNA
P08413186A1199|3 10|Ntl1 gene
P07626806A1098|3 10|RAT3 gene
P08007975A0000|3 10|IPL1 gene
P02163394T0000|3 10|sacT gene
P03543936A0000|3 10|rho genes
P01569945A0529|3 10|SEN1 gene
P01398074A1081|3 10|RNase MRP
P08605324A0434|3 10|viral LTR
P08878037A0000|3 10|gene ccpA
P10207049A0693|3 10|GAC1 gene
P01316476A1428|3 10|ORF 4 gene
P03040403A0155|3 9|PSS gene
P10330396A0387|3 9|RanQ69L
P07933116A0412|3 9|p55 mRNA
P09049306A0830|3 9|HBP gene
P02138915A1060|3 9|p36 gene
P07964624A0491|3 9|P131 ORF
P10801860A0000|3 9|Siglecs
P10564593A1618|3 9|MXR gene
P10652800A0984|3 9|insulin
P08542027A1471|3 9|XS2 gene
P07926774A0652|3 9|p73pct1
P01325386A0766|3 8|hit1-1
P08660998A0851|3 8|mMIWC1
P08514766A0732|3 8|GTPase
P01573270A0000|3 8|IA4 mAb
P07565723A0200|3 8|kinase
P11244568A0506|3 8|Gap69C
P07835088A0238|3 8|HSD3B1
P03001645A0785|3 7|pet56
P07752223A0960|3 7|Myc LZ
P08134108A0277|3 7|c-myc
P07937106A0100|3 7|v-ets
P09151925A0479|3 7|C-LIP
P09426068A0826|3 7|c-myc
P09655248A0000|3 7|gp330
P10936051T0000|3 7|RS447
P11278488T0000|3 7|v-Src
P01545818A0696|3 6|p130
P08633855A1064|3 6|lacS
P08278548A0597|3 6|psaD
P08901135A1132|3 6|NIT2
P06316347A0852|3 6|dnaQ
P01615493A0408|3 6|HC II
P08768374A0765|3 6|P-wr
P07678051A1303|3 6|PDGF
P08647086A0720|3 6|Cdk2
P08828152A1825|3 6|RPO1
P09132061A0828|3 6|atp 1
P01549123A0480|3 6|MET4
P08524314A0216|3 6|TEA1
P03673640A0533|3 5|MAO
P01378431A0202|3 5|Sun
P07657668A0642|3 5|SH3
P08302589A1132|3 5|HGF
P07326596A0061|3 5|IgA
P10487217A0735|3 5|C2C
P01780235A0094|3 5|EPO
P08835895A1292|3 5|CD4
P08948440A0628|3 5|ERH
P07876300A0994|3 5|p97
P10777217A0536|3 5|p53
P11069999A1602|3 5|U17
P09343432A0209|3 5|Scm
P02170687A0000|3 4|E6
P08413260A1437|3 3|s
P07789275A0325|3 3|s
P07567980T0000|4 31|p53 DNA-binding domain peptides
P00985279A0493|4 24|corpuscular hemoglobin
P11570820T0000|4 24|casein kinase I isoforms
P09888994A0858|4 21|Tbx6-subfamily gene
P03443144A0409|4 18|aspirin esterase
P02997622A0916|4 16|L-myc sequence
P08514757A1100|4 16|immunophilins
P10333529A0277|4 14|betaAPP mRNA
P08564488A1359|4 13|fibrinogen
P08621661A1035|4 12|P5CDh cDNA
P07500953A0305|4 11|ADR1 gene
P01309894A0807|4 8|Rep78
P08995681A0518|4 8|ICP27
P10955913A0827|4 8|HIT II
P09020138A0833|4 7|HEF1
P02487898A0315|4 6|NGF
P08396667T0000|4 6|ABL
P08604338A0198|4 6|EWS
P08918464A0225|4 6|RON
P02649445A0412|4 5|BG
P01524549A0241|4 5|GH
P11160742A0696|4 4|Z
P09422351A0000|5 39|calmodulin-dependent protein kinase II
P09655916A0415|5 33|DNA recognition helix of finger II
P10566630A0371|5 29|insulin-like growth factor I
P02278474A0000|5 29|Fibrin Degradation Products
